variant,date,param,kind,unit,value_conc,below_lod,raw,pumped_volume_l,lab_no,source_file,treatment,treatment_group,treatment_group_label,soil,sensor,phase,experiment_start_date,days
000.A,2022-08-16,Al,ion,umol/l,0.0,True,"<0,02",0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,Ca,ion,umol/l,3243.674834073556,False,130,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,Cl,ion,umol/l,3102.6993484331365,False,110,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,DOC,ion,umol/l,757.6388310715178,False,9.1,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,EC_field_uS_per_cm_25degC,direct,uS/cm,990.0,False,990,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,EC_lab_uS_per_cm_25degC,direct,uS/cm,985.0,False,985,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,Fe,ion,umol/l,0.0,True,"<0,005",0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,HCO3,ion,umol/l,4916.662569447858,False,300,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,HCO3_hardness_dH,direct,dH,13.7,False,13.7,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,K,ion,umol/l,219.9601002608829,False,8.6,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,Kb8.2_mmol_per_l,direct,mmol/l,0.36,False,0.36,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,Ks4.3_mmol_per_l,direct,mmol/l,4.9,False,4.9,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
