variant,treatment,treatment_label,treatment_group,treatment_group_label,soil,soil_name,sensor,phase,experiment_start_date,date,days,TA_umol_per_l,sampling_interval_days,rain_interval_mm,temp_mean_interval_C,rain_interval_onsite_mm,temp_mean_interval_onsite_C,TA_flux_mmol_per_m2_pumped,TA_cum_mmol_per_m2_pumped,TA_CO2_t_per_ha_per_yr_pumped,TA_CO2cum_t_per_ha_pumped,TA_flux_mmol_per_m2_avgBD,TA_cum_mmol_per_m2_avgBD,TA_CO2_t_per_ha_per_yr_avgBD,TA_CO2cum_t_per_ha_avgBD,TA_flux_mmol_per_m2_dumpmodel,TA_cum_mmol_per_m2_dumpmodel,TA_CO2_t_per_ha_per_yr_dumpmodel,TA_CO2cum_t_per_ha_dumpmodel
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2024-05-16,732,3310.552796761558,163.0,269.5,7.470552147239263,185.4,,705.3271352706274,3035.5103330243664,0.6955601826723724,1.3358977424606933,705.3271352706274,3035.5103330243664,0.6955601826723724,1.3358977424606933,1316.8824548694372,3647.065652623176,1.2986470462611344,1.6050371230629334
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2024-08-29,837,4654.440565743973,105.0,241.1,19.176190476190477,92.3,21.283783783783782,309.5317617612987,3345.042094785665,0.4738573763380648,1.4721195754942231,309.5317617612987,3345.042094785665,0.4738573763380648,1.4721195754942231,309.5317617612987,3956.597414384474,0.4738573763380648,1.7412589560964633
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2024-12-10,940,4506.940688660537,103.0,215.9,10.216504854368932,199.4,10.33883495145631,432.93272625064265,3777.974821036308,0.6756393205513053,1.6626489389898689,432.93272625064265,3777.974821036308,0.6756393205513053,1.6626489389898689,432.93272625064265,4389.530140635117,0.6756393205513053,1.9317883195921088
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2025-02-19,1011,3392.4971729190224,71.0,80.10000000000001,1.3169014084507042,58.400000000000006,1.4070422535211269,271.5668919208577,4049.541712957165,0.6148231307500803,1.7821628124553186,271.5668919208577,4049.541712957165,0.6148231307500803,1.7821628124553186,271.5668919208577,4661.097032555975,0.6148231307500803,2.0513021930575586
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-06-20,36,2196.1092810200435,36.0,39.099999999999994,17.861111111111114,37.2,,19.020783273594667,19.020783273594667,0.0849293150165989,0.0083708565108762,19.020783273594667,19.020783273594667,0.0849293150165989,0.0083708565108762,19.020783273594667,19.020783273594667,0.0849293150165989,0.0083708565108762
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-07-05,51,2491.1090351869148,15.0,8.4,21.12666666666667,13.4,,19.020783273594667,38.04156654718933,0.2038303560398373,0.0167417130217525,19.020783273594667,38.04156654718933,0.2038303560398373,0.0167417130217525,19.020783273594667,38.04156654718933,0.2038303560398373,0.0167417130217525
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-07-18,64,3130.275169215137,13.0,5.1,18.661538461538463,3.1999999999999997,,23.13011208779658,61.17167863498591,0.2860000506337995,0.0269210440504709,23.13011208779658,61.17167863498591,0.2860000506337995,0.0269210440504709,23.13011208779658,61.17167863498591,0.2860000506337995,0.0269210440504709
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-01,78,3851.3856794008225,14.0,8.1,22.73571428571429,8.0,,99.60480205346954,160.77648068845545,1.143625856919185,0.0707561213861823,99.60480205346954,160.77648068845545,1.143625856919185,0.0707561213861823,99.60480205346954,160.77648068845545,1.143625856919185,0.0707561213861823
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-16,93,4769.162692364423,15.0,2.4,22.246666666666663,2.8000000000000007,,29.366765347071563,190.143246035527,0.3146998811947828,0.083680141147775,29.366765347071563,190.143246035527,0.3146998811947828,0.083680141147775,29.366765347071563,190.143246035527,0.3146998811947828,0.083680141147775
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-30,107,5211.66232361473,14.0,77.0,20.00714285714286,29.000000000000004,,500.62766162801586,690.7709076635429,5.748023455931807,0.3040013687536486,500.62766162801586,690.7709076635429,5.748023455931807,0.3040013687536486,500.62766162801586,690.7709076635429,5.748023455931807,0.3040013687536486
